"Missing Age","State"
"39 Years","WV"
"70 Years","NC"
"16 Years","TN"
"53 Years","MS"
"53 Years","PA"
"31 Years","AL"
"30 Years","NY"
"33 Years","NY"
"20 Years","KY"
"49 Years","TN"
"26 Years","VA"
"17 Years","NC"
"28 Years","AL"
"46 Years","TN"
"22 Years","NY"
"33 Years","GA"
"77 Years","NY"
"61 Years","PA"
"58 Years","TN"
"35 Years","PA"
"44 Years","NY"
"64 Years","NY"
"53 Years","VA"
"31 Years","KY"
"24 Years","NY"
"38 Years","TN"
"3 Years","VA"
"47 Years","GA"
"58 Years","NY"
"29 Years","OH"
"28 Years","MS"
"33 Years","MS"
"56 Years","NC"
"23 Years","GA"
"16 Years","TN"
"60 Years","NY"
"18 Years","SC"
"24 Years","GA"
"22 Years","TN"
"44 Years","GA"
"38 Years","NY"
"72 Years","NC"
"< 1 Year","NC"
"26 Years","GA"
"21 Years","SC"
"36 Years","OH"
"33 Years","MS"
"31 Years","PA"
"31 Years","NY"
"29 Years","MS"
"31 Years","AL"
"3 Years","OH"
"29 Years","MS"
"20 Years","NY"
"16 Years","SC"
"29 Years","TN"
"55 Years","NC"
"45 Years","SC"
"16 Years","TN"
"48 Years","VA"
"31 Years","KY"
"44 Years","GA"
"41 Years","NY"
"17 Years","TN"
"54 Years","TN"
"17 Years","NY"
"28 Years","NY"
"31 Years","MD"
"26 Years","GA"
"27 Years","MS"
"59 Years","GA"
"80 Years","NY"
"16 Years","NY"
"21 Years","NY"
"38 Years","KY"
"41 Years","NC"
"44 Years","GA"
"31 Years","MD"
"49 Years","KY"
"53 Years","GA"
"22 Years","SC"
"34 Years","NC"
"48 Years","NY"
"57 Years","KY"
"26 Years","GA"
"19 Years","SC"
"70 Years","PA"
"14 - 15 Years","AL"
"14 Years","NY"
"40 Years","GA"
"16 Years","NC"
"57 Years","TN"
"78 Years","WV"
"35 Years","NC"
"32 Years","GA"
"37 Years","GA"
"38 Years","NY"
"43 Years","NY"
"66 Years","PA"
"57 Years","GA"
"17 Years","TN"
"39 Years","WV"
"40 Years","TN"
"40 Years","SC"
"24 Years","NY"
"33 Years","MS"
"47 Years","VA"
"41 Years","OH"
"32 Years","KY"
